id,text,length,author
1,Wonder why this would not be covered under PNG law - last I looked Manus was part of another sovereign state. Presumably our friends down at Maurice Blackburn feel they have a better chance of getting money from the Australian government than the PNG government. Will be an interesting test case.,51,TimOfAltona
2,Interesting hypothesis - doubt there will be leadership change just yet - the election is a long way off - Abbott has some plenty of time on his side to turn the polling around and they will later in the year. ,42,TimOfAltona
3,Spot on - the only problem is that Abbott will not go to an early election - (would you with polling like this?) - plenty of time for the polls to turn around before the 2016 election and the second term of this government starts. IMHO.,46,TimOfAltona
4,To the contrary - the government have released a series of policies that involve belt tightening - which is why we see the left bleating about losing their halcyon days of rivers of borrowed money flowing through the economy artificially propping everyone up. ,44,TimOfAltona
5,The government was always going to take a hit from the socialist set when they went about the task of fixing up 6 years of Labor's fiscal ineptitude.  ,30,TimOfAltona
6,"If Shorten (providing he is still leader) thinks he can get away with spinning ALP rhetoric until about 5 o'clock on election eve 2016 before he releases any economic policies and hopes Labor will just fall over the line, he is mistaken. ",43,TimOfAltona
7,How would you address welfare reform? Keep borrowing money from overseas to keep throwing at it? Or would you perhaps explore ways of reforming whilst still protecting the genuinely weak members of the community? ,35,TimOfAltona
8,I suspect you may be a bit confused - this is not the government proposing changes - it is the head of an independent panel Patrick McClure advising of his findings. ,32,TimOfAltona
9,Now c'mon - who's kidding who here - she left her party with 7 seats in a 90 odd seat parliament - the best political leader our country has seen in a long time??????,34,TimOfAltona
10,"You could be a little confused or mis-informed - this is not a policy, it is an initial report on findings which are now open to the public for input then a final report with recommendations back to the government later this year.",43,TimOfAltona
11,"1. The government (Kevin Andrews) is not  recommending these measures - he is discussing some aspects of the independant report coming from Patrick McClure, Sally Sinclair and Wesley Aird (worth taking a look at who these people are) ",40,TimOfAltona
12,3. Public submissions relating to the report findings are open until August 08.Feedback from the public and organisations operating or impacted by the report findings are critical to forming a final report along with recommendations back to the government.  ,41,TimOfAltona
13,5. If people have valid or genuine concerns (other than you just don't like a Coalition government in power) then feel free to make your concerns known to the panel who are encouraging feedback to assist them with their final report back to government. ,45,TimOfAltona
14,Hopefully this takes some of the hysteria and misinformation out of the comments in this thread - there is a need to review the current system and the genuine faults that exist.,32,TimOfAltona
15,What sort of world do you live in? Let's get back to reality - a % of young people spend their welfare money on alcohol &amp; illegal drugs. In your world you think the government should continue to encourage alcohol and drug dependencies through welfare payments? ,47,TimOfAltona
16,My advice to you is firstly read the full report (link in the article) - you will find references to your situation - if you still have concerns or want to make a statement direct to the DSS you have until August 08 to make a submission. ,48,TimOfAltona
17,Feedback by way of public submissions will assist a final report and recommendations. You do have a voice on this particular issue - the authors of the discussion paper want to hear from people in your situation to assist them with a final report/recommendation. ,45,TimOfAltona
18,"If you take the time to read both the article and the report you will seethis sequence is underway - reacting to a head line without understanding the detail leads too many people, yourself included, into making a ""thought bubble"" comment devoid of fact.",44,TimOfAltona
19,The government should be taking a look at this - the report has identified areas where inefficiencies and disincentives to people working exist. Overall good to see the government exploring any improvements to the current system - what comes out of this remains to be seen. ,47,TimOfAltona
20,Let's hear what the ALP say about this - oh that's right - they support off shore processing as well and will endorse the government transferring these people to Manus or Nauru *Labor cheer squad go silent*,37,TimOfAltona
21,If they are that far from Christmas Island - assuming there is a boat in the first place - then Indonesia is the closest to steer their 'stricken' boat to safety - or are they waiting for the RAN taxi pickup service? ,43,TimOfAltona
22,If Rintoul is encouraging them to stay at sea to try and make it to Christmas Island then if something goes wrong he will have some serious explaining to do.,30,TimOfAltona
23,Bishop's stature in the international community has been growing and Australia's support for the new regime in Burma will help transition the country into a true democracy in time. Her meeting with the Rohingya community is also diplomatically significant and helps them get a voice internationally. ,47,TimOfAltona
24,"The problem with your argument is that if Australia treats children differently to adults, or more leniently then hey presto! hundreds of people smuggler boats laden with children will be departing Indonesian coast line headed for Australia. Then it's a numbers game as to how many make it and how many possibly perish at sea. ",56,TimOfAltona
25,"Exactly the same thing is happening in the US right now with tens of thousands of children entering the US from Central America, why? because the US, under Bush, provided for extra protection for children entering the US illegally...it has now got so out of hand that the Obama administration are about to repeal the legislation which provides automatic asylum for children and will start deporting them back to their country of origin, mainly Honduras and Nicaragua. ",78,TimOfAltona
26,"Perhaps Fairfax don't want their publications advertising rallies for far left organisations such as Socialist Alternative, Communist Party Australia, Get Up and the like who are behind these events you are trying to drum up support for. ",38,TimOfAltona
27,I'll sleep better tonight knowing that we have so many experts on Sri Lanka commenting in the Guardian thread - they all appear to have a far superior knowledge of the situation on the ground as it relates to Tamils than DFAT does. ,44,TimOfAltona
28,"By the way - these people on the boat, if they are Tamils, came from Southern India - Tamil Nadu - of which Chennai is the capital, the language is Tamil, population 72 million and has been home to the Tamil people since 1500 BC. ",46,TimOfAltona
29,Good to see Albrechtsen join the ABC selection panel. She has a wealth of journalism experience. Transparency is the key here and there is no reason to believe any board appointment decisions won't be made with the best interests of the ABC at the forefront. ,46,TimOfAltona
30,Tears them apart that this government has actually gone out and implemented a policy that has saved possibly thousands of lives from drowning at sea - you could be mistaken for thinking the left wanted the drownings that occurred under the last Labor/Greens government to continue just so they can point the finger of blame at the current government. ,60,TimOfAltona
31,Trying to portray these events as some kind of harmless fun filled family picnic day when they are in fact led by radical left wing organisations is deceiving people. ,30,TimOfAltona
32,"I think this is what Brandis is saying - it's the left wing Wikileaks campaigner cum lawyer, Greg Barnes who is saying we may not be able to detain people returning from fighting with outlawed terrorist groups in Iraq/Syria. ",40,TimOfAltona
33,"Fair dinkum - as soon as we have a major terrorist attack in Australia which kills and maims innocent people, all these left-wing do-gooders will all suddenly go silent and hope we don't remember that they were the ones who constantly frustrated the government's efforts to protect our borders.",49,TimOfAltona
34,Bottom line - the government is delivering on a pre-election promise and is shutting down the evil &amp; deadly people smuggling trade kick started by Kevin Rudd and Labor in 2007. ,32,TimOfAltona
35,Boats don't depart = people don't drown. Fairly simple equation lost on so many who advocate welcoming the ten of thousands who would otherwise attempt the journey by sea and paying millions to people smugglers along the way. ,39,TimOfAltona
36,"Clive Palmer survives from one stunt to the next - beneath all the bluff and bluster he will always support LNP over Labor , although he's convinced/conned a fair few of the Labor cheer squad that he's on their side and many have fallen for it hook line and sinker. ",51,TimOfAltona
37,"I have a brillaint solution - let's shut down the people smugglers, stop the boats departing Indonesia in the first place, empty out and close down the off shore processing centres (like before), process all those in onshore processing centres then shut them down too (like before) and then everyone wins! ",52,TimOfAltona
38,"No more overcrowded processing centres on or off shore, no more men women and children hopelessly drowning at sea, reduce Australia's debt by billions of dollars, have an orderly and controlled asylum migration program that welcomes and provides the support for genuine refugees through the UNHCR program and no more First Dog cartoons attacking the government with click bait cartoons on this issue! ",64,TimOfAltona
39,"Actually we are both right - true, it was initiated under the Howard government in 2002 and Australia committed to the first order of 14 aircraft under the Rudd Labor government of 2009.",33,TimOfAltona
40,Yes you are spot on. Australia did not have the ship building infrastructure to embark on such a massive project - the cost to establish the infrastructure would have blown out the cost of the project by billions for the same result in the end.,45,TimOfAltona
41,It was the Labor government who did the evaluation and placed the order for these - the incoming government simply fulfilled the order - it was all in the timing. ,31,TimOfAltona
42,"PS - the aircraft have had some teething issues, but are far superior to any other military aircraft in our region and will serve the nation well - good on Labor and the Coalition for the foresight to get this going.",41,TimOfAltona
43,I'm with you - the boats have all but stopped - let's clear out the off shore processing centres by either voluntary or forced repatriation to country of origin for the economic asylum seekers or relocating to a third country for resettlement for the genuine ones and do it as fast as possible so we return to the status quo of the Howard years (before Labor came along a mucked it up),72,TimOfAltona
44,"That's fine, but we need to ensure we have the infrastructure and support services to handle large numbers each year - no point in bringing these people in if they end up being consigned to some kind of migrant ghetto with everyone living off welfare, unemployed and no prospects to build a better life. ",55,TimOfAltona
45,"You only have to look at some suburbs in Paris, Athens, Frankfurt, Naples or London to see what happens when migration gets out of control - oh and for god's sake - don't encourage any increased intake to arrive by people smuggling boats.",43,TimOfAltona
46,"You don't understand - these boats leave Indonesia or Sri Lanka with plenty of people both at the departure point and arrival point (Australia) who know who is on board, when they left, when they should arrive and also have contact with the refugee advocates in Australia. If a boat simply disappears the alarm will be raised including through the media. ",62,TimOfAltona
47,"They are, but economic migrants should enter the country through the correct migration channels like thousands of others do - not pay people smugglers to illegally enter Australia by boats from Indonesia.",32,TimOfAltona
48,Suggest any Brits tuning in also read comments in some other Australian newspapers to learn that this small but vocal (in the Guardian at least) left wing mob are in the minority.,32,TimOfAltona
49,If you want to start submitting complete and utter nonsense better be prepared to back it up - let's have this list of technologies developed tens of thousands of years before European settlement. ,34,TimOfAltona
50,"Funny how many people would rather not be here at all and would rather see Australia in 2014 back to where it was pre-colonisation in the 1700's, inhabited only by hunting and gathering indigenous people. ",36,TimOfAltona
51,"Abbott was referring to the contribution Britain made to establishing infrastructure, trade and investment in Australia when they arrived in the 1700's. He was not having a go at the indigenous people.",32,TimOfAltona
52,It would be being a tad disingenuous to suggest that Australia had existing infrastructure and global trade before the Brits arrived in the 1700's - the only point Abbott is making.,31,TimOfAltona
53,If you don't like what the government has achieved by late 2016 you can go and cast your vote and if the government has not been good enough or lived up to expectations and the consensus by the majority of Australians is that Labor/Greens parties have their act together the government will change. ,54,TimOfAltona
54,"Can't see any problem with the point he is making - In the 17th &amp; 18th century Britain colonised and then built infrastructure and trade in many under developed countries which had an indigenous population, Australia and NZ included, as did the French, Dutch, Portuguese and Spanish. ",48,TimOfAltona
