id,text,length,author
1,"Some people will be happy with a day of battery power when it is cloudy in the middle of winter, and then they will use candles. Others want to never run out of power and will wants 2 weeks of power reserve, but they will pay dearly for the batteries, and they are prepared to pay. ",57,InfinityAndBeyond
2,Once it is a grid based system there is no personal responsibility. People will use the power and complain when the batteries run out. So more and more batteries will be put in and the electricity prices will rise. ,40,InfinityAndBeyond
3,"I don't think anyone would complain about a solar PV farm next to them, unlike wind turbines. But base load is the problem. And if you are going to have batteries, that is better managed at each consumers premises than trying to have enormous grid based batteries.",47,InfinityAndBeyond
4,"But the politicians should be convincing the public of why they want to sign such a treaty, and spell out in detail, not motherhood statements, exactly what the benefits are to Australians. The benefits should be quantified and backup up with evidence.",42,InfinityAndBeyond
5,I would hate it if I bought my idyllic country home and then had an industrial complex of grotesque 110 metre high rotating monstrosities stuck around my house.  ,30,InfinityAndBeyond
6,"Also if you look at any nation that has significantly better emissions and a similar lifestyle, they all have large amounts of some form of low CO2 power like nuclear, hydro or geothermal.",33,InfinityAndBeyond
7,"As for being drawn into whether it had ever happened, he refused. Fair enough, he probably cannot answer for others as he has only had this ministry a short time.",30,InfinityAndBeyond
8,Company directors only have a duty to the shareholders that elected them. The company does not have any legal interests other than the shareholders interest. The correct term is corporations law,31,InfinityAndBeyond
9,That is the silliest thing I have heard today. Corporates have no duty to be advocates for sections of the public. Other wise if the didn't they would be failing their duty? Are Hungry Jacks and Subway failing their public duty?,41,InfinityAndBeyond
10,"How about McD gets back to making burgers, and the 4 banks get back to trying to work out how to reduce our fees, and let the voters decide the government direction and policy?.",34,InfinityAndBeyond
11,"Umm we are Australia, not Thailand or Malaysia. If you want to have a conversation about it, I suggest you take a trip over there and discuss it with them.",30,InfinityAndBeyond
12,"All the refugees want to live in Sydney and Melbourne. It doesn't matter how much uninhabited desert we have, no one, not even a refugee wants to live there. So forget that idea.",33,InfinityAndBeyond
13,Nah they were from Sri Lanka. Not refugees. Economic migrants. No reason in 2015 to be leaving Sri Lanka other than for economic reasons. Even the UN is repatriating people to Sri Lanka.,33,InfinityAndBeyond
14,Shorten said those with significant assets should not get a pension. So the Libs are cutting out higher asset people from getting the pension and at the same time boosting the pension for those with modest assets.  ,39,InfinityAndBeyond
15,"The whole ISIS issue is because Obama prematurely and pig-headedly removed all the troops that were ensuring security and safety in the region. He was warned but did it anyway, just to appease pressure groups.",35,InfinityAndBeyond
16,"Your statement is not relevant in this case because they were not refugees, they were not even asylum seekers (a difference in case you didn't know), they were merely economic migrants from Sri Lanka. There is no reason in 2015 to be leaving Sri Lanka, even the UN can attest to that.",52,InfinityAndBeyond
17,"That is a myth. The reality is that 85% are still on welfare 5 years later, as you would expect. We already don't have enough jobs for everyone in Australia. More people will just be on welfare, and with poor English, no skills, and no experience, of course it will be the asylum seekers on the welfare.",57,InfinityAndBeyond
18,It is a neo-Marxist philosophy of open borders to set up a one world government all under the control of the UN and reporting to Moscow. There is much worse that the loony left want but don't put in print these days as it will frighten the natives.  ,50,InfinityAndBeyond
19,"They also believe that land shouldn't be owned by individuals, and we should all be living in tiny little apartments so there is no suburban sprawl, leaving most of Australia for the animals and Aboriginal ownership. Yes Aboriginals are allowed to own land, but no one else. No cars, just public transport.",52,InfinityAndBeyond
20,"The Lefties invented group-think. Comes from them being a collective, where you have to fit in, and dissenting views indicate you might not be one of them. So independent thought becomes a forgotten skill. Just like a paddock of sheep.",40,InfinityAndBeyond
21,"Not Dutton but the credit needs to go to Morrison. Going by Labor's death rate, there are probably 1000 to 2000 people alive today thanks to him stopping the boats.",30,InfinityAndBeyond
22,That's why you have the Senate. When 0.5% of the population wants to vote a particular way they have influence and will be listened to as can get a couple of people in. ,34,InfinityAndBeyond
23,"But I see right though your arguments. You are really wanting Aboriginals to have their own elections for their own members in parliament. Just forget it, it wont happen. That sort of discrimination by giving a minority a greater vote will always be rejected, and I will be one of the first to reject it.",55,InfinityAndBeyond
24,"This isn't getting anywhere. You keep saying in vague terms that the electoral system is wrong. You say the boundaries are wrong and that it was done by white man, but what does that mean? What precisely is wrong? Do you have an example? ",45,InfinityAndBeyond
25,You seem to be claiming the boundaries are gerrymandered. Do you have any evidence/examples as I find if difficult to believe in this day and age that it has gone unchallenged? ,32,InfinityAndBeyond
26,"To get an idea of how this would work in the grand scheme of things, for instance, how much are you personally prepared to pay to contribute to these historic wrongs you talk about? ",35,InfinityAndBeyond
27,"How will separating Australia into 2 groups in the Constitution lead to equality? The only thing that leads to equality is putting everyone in the same group, that is Australians.",30,InfinityAndBeyond
28,"We agree to reduce import duty on goods (and destroy our own industry making those goods), if they agree to reduce import duty on farm products, so farmers can sell more product.",32,InfinityAndBeyond
29,"Wait until he appears in the Royal Commission. Though I expect he will answer everything with 'I cant recall', but that will just end his PM ambitions quicker as who wants a PM that cant remember?",36,InfinityAndBeyond
30,"Their messiah that rose from the ashes of Rudd and Gillard and who they expected to win in 2016 with the exact same failed policies from the previous term in government, is now starting to look like another failed ALP leader, just another Mark Latham.",45,InfinityAndBeyond
31,"If Mark really wanted to achieve something, instead of a loose coalition with the Greens, he should arrange a full merger with the Greens, and bring their 2 constitutions together and create a united and democratic party not run by the union heavyweights.",43,InfinityAndBeyond
32,Yes but who will pay to get on a boat knowing the crew will try and get more money from Australia and take them back where they started from? ,30,InfinityAndBeyond
33,"I am not racist, I want nearly all migration stopped. Only let in a restricted number of migrants of up to 25,000 per year of any nationality for family reunion that also meet the requirement of skills that are needed and a good prospect of supporting themselves and accumulating enough money in superannuation to support themselves in retirement. Australia is not a charity, our charitable money is via foreign aid.",70,InfinityAndBeyond
34,"So all the unpopulated land is a moot point Refugees only want to live in Sydney and Melbourne and by world standards for comparable lifestyles they are very big cities. By all measures, without reducing lifestyle, Australia is full. ",40,InfinityAndBeyond
35,"It is not just the manufacturers that charge Australia more, but the distributors in Australia have added much higher margins by maneuvering themselves into a position where they can be much wealthier than their overseas counterparts on the back of lover sales volume then their counterparts. Just because you have a small business in Australia seems to mean a Mercedes and a weekender at Portsea. ",66,InfinityAndBeyond
36,"A classic example was photo film processing. We paid much more in Australia than overseas did. And we paid subsidies to Kodak. When digital cameras came in, Australia had the worlds most rapid uptake of digital cameras, not because of tech savvy, just because of being ripped for so many years. ",52,InfinityAndBeyond
37,Australia is a captive market. It is like buying a meat pie at the AFL Grand Final. Expect to pay far more than could possibly be justified just because you are trapped within.,33,InfinityAndBeyond
38,"I find it strange that people are against being able to carry a concealed weapon, but they support the right to be out in public with a potentially dangerous dog. ",31,InfinityAndBeyond
39,"So didn't you a Prius is not green from cradle to grave, or did you know and didn't care and so used it as an example and perpetuating the myth?",30,InfinityAndBeyond
40,"Anyone with half a brain will know that the Prius was a long way down on the list of green cars when assessed from ""cradle to grave"" due to its very poor recyclability and enormously high energy costs to make it. ",42,InfinityAndBeyond
41,"It is the high cost of music that drives piracy. $2.11 for a song on iTunes!! If you bought a collection of 2000 songs, that is $4220 dollars!  ",30,InfinityAndBeyond
42,"As the Guardian reported last week, an Australian radiologist was stripped of his licence to practice in Australia. There was no court case. He can appeal if he thinks it was wrong. ",33,InfinityAndBeyond
43,"So citizenship can be treated the same. You get stripped of citizenship, but if you think you have been wrongly treated, you can come back and appeal to a court.  ",32,InfinityAndBeyond
44,"Good to see they can put aside their partisan politics and do what is in Australia's interest and what nearly all Australians want, regardless of the very vocal but tiny minority.",31,InfinityAndBeyond
45,"Gillard would be the most useless PM of modern times. She took Rudds 52% and reduced it to 50% in a matter of months, and over the next 3 years took the party to what would be the greatest arse caning at an election a sitting government has ever had. Luckily Rudd stepped in and saved her sorry arse from a very embarrassing defeat.",64,InfinityAndBeyond
46,"At the last election the ALP were out-flanked on the right, that is why LNP won. Now they want to move more to the left and vacate more of the middle ground, leaving it up for grabs. Fine.",38,InfinityAndBeyond
47,#NAME?,#NAME?,InfinityAndBeyond
48,#NAME?,#NAME?,InfinityAndBeyond
49,#NAME?,#NAME?,InfinityAndBeyond
50,"It is the last week before the winter break when the knifings often happen, and Shorten is on political life-support. So this is not a good time for Plibersek to make outrageous comments in the media like this.",38,InfinityAndBeyond
51,"No it exists here. You want me to say sorry and pay compensation for what my ancestors did a couple of hundred years ago. I wast even born yet, but you want me to be responsible. What is the difference?",40,InfinityAndBeyond
52,It is only a matter of time before Sharrouf's children are into some form of radicalization as they will consider their father to be a martyr and want to avenge his death.,32,InfinityAndBeyond
53,"What I want is an administrative decision. Like the decision a minister has to let someone stay. Sure have the right of appeal, but don't need an unnecessary court case. ",31,InfinityAndBeyond
54,"You are off topic. This is not about poverty. This is about a government that cant control spending, with the youngest retirement age and highest pensions as a percentage of previous income in all of Europe.",36,InfinityAndBeyond
55,"You make no distinction between those who died from being part of an offensive action, and those who are innocent victims. When is your would view going to grow up?",30,InfinityAndBeyond
56,"So I say there is not much new technology in the car, and you submit what is car of the year awards as your counter argument. Really? Did it win because of more legroom and a bigger sunroof?So what are the technological break throughs? List please?",46,InfinityAndBeyond
57,"So there is no way to get the price of the car down to the price mortals pay, even with high volumes. You cant make a Ferrari for $20k no matter how many you make. ",36,InfinityAndBeyond
58,"That will work when very few people have batteries, but as soon as the numbers get higher it is a problem for the generation companies. It is not financial.  ",31,InfinityAndBeyond
59,So they will include minimum kwh in a bill. Or your account will have load shedding where in a severe demand day you can only take 20% more than you average consumption or the smart meter cuts you off etc.  ,42,InfinityAndBeyond
60,Then it's a pity qanda couldn't get Pol Pot or Joseph Kony on for you so you could hear what they are on about. Would you settle for Adrian Bailey?,30,InfinityAndBeyond
61,The ABC needs to review its procedures as they have clearly failed by letting Mallah on the show to ask questions and get some publicity for his cause.  ,30,InfinityAndBeyond
62,"In the real world you have limitations, and the limitations are cost and time. Taking unproven people who have never been a pilot, you don't know how they will go at it. Will be a higher success rate with those who are already a pilot.",45,InfinityAndBeyond
