id,text,length,author
1,"You cannot offer a shred of evidence to support your assertion of what happens in the homeland, especially when the majority of arrivals under Labor were economic refugees, hardly fleeing persecution.",31,TheJediMaster
2,"I'd be far more concerned about the behaviour of PM's past. One even once tried to tell us that wearing as blue tie was unacceptable, now there's some abnormal behaviour.",30,TheJediMaster
3,Labor wanted to lock in spending six years into the future mainly for the NDIS. It was silly in the sense that the Coalition gave bipartisan support to the NDIS. Labor then tried to lock in the stupid Gonski spending and health spending through to 1919.  ,46,TheJediMaster
4,The $80 billion claim is based on numbers outside the forward estimates. Numbers that are five and six years into the future. Large Gonski cost impacts and more health blow outs.  ,31,TheJediMaster
5,"Friarbird - my bill went up when the CT was introduced, but to be honest i wasn't plotting it on a spreadsheet. Whether yours and the neighbours went up, or indeed went down last year is less relevant than the national trends.  ",42,TheJediMaster
6,GuardingOz - interesting name - and i fully support your coffee consumption. Again individual circumstances are one thing but overall trends are more important. Prices clearly did come down after the July 2014 repeal of the CT.,37,TheJediMaster
7,I'm saying that the Australian Bureau of Stats found that energy prices fell 5% after the carbon tax was ditched. You won't get any more compelling evidence of the price impact of the silly thing.  ,35,TheJediMaster
8,"On your bill, perhaps you should compare usage to the cost. You might perhaps find that your carbon footprint expanded, if your bill didn't fall recently. Conversely, bills went up 15% in the six months following the introduction according to some analysis.",42,TheJediMaster
9,"Yes some of the posters were a bit silly, but thanks for reminding us what a peaceful protest looks like. No assaults, no damage to property, no storming of the parliament house doors, no police required. Coincidentally, no unions or socialists around.  ",42,TheJediMaster
10,"BUT - next year Bill's going to start telling us all about his proposed new carbon tax. The one that will send electricity prices through the roof once more. Once voters sit up and listen, that will be the last we ever hear of Bill ! Adios.",47,TheJediMaster
11,"They all seem to describe the climate change ideologues rather well. Especially the ones arguing that climate change should be front and centre at an economic event, or an inter-generational report for that matter.",34,TheJediMaster
12,"Well we've been hearing ever since December 2009 the Abbott was unelectable, would never be Prime Minister, would ensure Gillard was returned, would ensure Rudd was returned, would be dumped by his own people etc etc .... ",37,TheJediMaster
13,"Hate to point it out but right now at present Abbott is in the Lodge, metaphorically, and the Coalition are in government. The next poll - well it could be 51-49 to the government. Abbott's been improving ever since the spill, and Bill's sinking before our very eyes.",48,TheJediMaster
14,"Well you'd suspect a routine socialist protest would normally involve breaking something, assaulting someone, chanting a few one syllable slogans, wearing something offensive, burning something, and finishing it all off with a rendition of Kumbaya before calling mum and asking for a lift home.  ",44,TheJediMaster
